lat,lon,nombre,localidad,provincia,comunidad,empresa,marca
28.404929268454044,-16.516861197599304,Fonteide,La Orotava (Tenerife),S.C. de Tenerife,Islas Canarias,,Fonteide
28.162595329247065,-16.634285812733573,Fuentealta,Vilaflor (Tenerife),S.C. de Tenerife,Islas Canarias,,Fuentealta
28.044032534222374,-15.641526362592337,Fuentebruma,Valsequillo (Gran Canaria),Las Palmas,Islas Canarias,,Fuentebruma
27.98559060145763,-15.517525573227626,Fuente Umbría,Valsequillo (Gran Canaria),Las Palmas,Islas Canarias,Aguacana,Fuente Umbría
27.98638528359686,-15.516361273974927,Fuente Niguada,Valsequillo (Gran Canaria),Las Palmas,Islas Canarias,Aguacana,Fuente Niguada
28.12549146717403,-15.456073917326906,La Ideal II (El Rapador),Firgas (Gran Canaria),Las Palmas,Islas Canarias,,"Firgas, Aquavia y Vitalia"
39.75656225966014,2.654970026561477,Font de Sa Senyora (sin ,Deià (Mallorca),Islas Baleares,Islas Baleares,,Font de Sa Senyora
39.73395458548193,2.6820760550148215,Font des Teix y Font S ́Aritja,Bunyola (Mallorca),Islas Baleares,Islas Baleares,Importaco,Font des Teix y Font S ́Aritja
39.81653773764504,2.830199020158461,Font Major,Escorca (Mallorca),Islas Baleares,Islas Baleares,,Font Major
39.73834902501634,2.828288878402894,Font Sorda-Son Cocó,Alaró (Mallorca),Islas Baleares,Islas Baleares,,Font Sorda Son Cocó
42.258733145390345,-2.615297734952181,Peñaclara,Torrecilla en Cameros,La Rioja,La Rioja,Mineraqua,"Peñaclara, San Millán y Ñ Peñaclara"
38.14443946505945,-2.1642691142896684,Cantalar,Moratalla,Murcia,Murcia,,Cantalar
37.90970619067905,-1.525836564022428,Fuente de la Higuerica,Mula,Murcia,Murcia,,Fuentedueñas
38.358193979629554,-1.7705278486575675,Neval,Moratalla,Murcia,Murcia,,Neval
43.235915333324456,-2.4010728489490205,Alzola,Alzola-Elgoibar,Guipúzcoa,País Vasco,,Alzola
43.09512108091343,-2.034472329361012,Insalus,Lizartza,Guipúzcoa,País Vasco,,Insalus
